model_id,macrocycle_number,phase,rep_scheme,intensity_pct
3.2,14,accumulation,6x5,
3.2,14,intensification,8x2,
3.2,14,accumulation_2,8x4,
3.2,14,intensification_2,"3,3,2,2,1,1",
3.2,15,accumulation,"4,4,6,6,8,8",
3.2,15,intensification,"5,5,3,3,2,2,1,1",
3.2,15,accumulation_2,8x5,
3.2,15,intensification_2,10x2,
3.2,16,accumulation,7x4,
3.2,16,intensification,8x2,
3.2,16,accumulation_2,"6x(1/1/1/1/1)",
3.2,16,intensification_2,"3,2,1,3,2,1",
3.3,1,accumulation,5x10,
3.3,1,intensification,"8,8,6,6,4,4",
3.3,1,accumulation_2,6x9,
3.3,1,intensification_2,8x4,
3.3,2,accumulation,6x8,
3.3,2,intensification,8x4,
3.3,2,accumulation_2,7x7,
3.3,2,intensification_2,"5,4,4,3,3,2,2,1",
3.3,3,accumulation,6x9,
3.3,3,intensification,8x5,
3.3,3,accumulation_2,7x8,
3.3,3,intensification_2,11x3,
3.3,4,accumulation,"9,9,7,7,5,5",
3.3,4,intensification,7x4,
3.3,4,accumulation_2,7x6,
3.3,4,intensification_2,"5,5,3,3,2,2,1,1",
3.3,5,accumulation,"10,8,6,6,8,10",
3.3,5,intensification,7x4,
3.3,5,accumulation_2,7x7,
3.3,5,intensification_2,"3,3,3,3,2,2,2,2",
3.3,6,accumulation,7x6,
3.3,6,intensification,"5,5,3,3,2,2,1,1",
3.3,6,accumulation_2,9x5,
3.3,6,intensification_2,10x2,
3.3,7,accumulation,7x7,
3.3,7,intensification,10x3,
3.3,7,accumulation_2,9x6,
3.3,7,intensification_2,"5,5,3,3,2,2,1,1",
3.3,8,accumulation,8x5,
3.3,8,intensification,"5,5,3,3,3,2,2,2",
3.3,8,accumulation_2,10x4,
3.3,8,intensification_2,10x2,
3.3,9,accumulation,6x9,
3.3,9,intensification,8x5,
3.3,9,accumulation_2,7x8,
3.3,9,intensification_2,12x3,
3.3,10,accumulation,7x7,
3.3,10,intensification,12x3,
3.3,10,accumulation_2,9x6,
3.3,10,intensification_2,"5,5,5,3,3,3,1,1,1",
3.3,11,accumulation,7x8,
3.3,11,intensification,11x4,
3.3,11,accumulation_2,9x7,
3.3,11,intensification_2,13x3,
3.3,12,accumulation,7x6,
3.3,12,intensification,10x3,
3.3,12,accumulation_2,9x5,
3.3,12,intensification_2,"3,3,3,3,3,2,2,2,2,2",
3.3,13,accumulation,"5,5,7,7,9,9",
3.3,13,intensification,10x3,
3.3,13,accumulation_2,7x6,
3.3,13,intensification_2,12x2,
